"Date Range","Anger","Disgust","Fear","Sadness","Happiness","Love","Surprise","Neutral","Other"
"2021-01-11/2021-01-17","0.06409546248823429","0.06416149204192236","0.039227621326669716","0.07237245190448956","0.1729433796611939","0.032800768069418944","0.2785468125359591","0.20467795828876542","0.07117405368334669"
"2021-01-18/2021-01-24","0.08080776701924358","0.06620582589688845","0.08593930386790599","0.14840275631680566","0.15442563491257486","0.023850988072869395","0.1908752063030918","0.1818696405336661","0.06762287707695422"
"2021-01-25/2021-01-31","0.11891934272850564","0.0860569553306368","0.0707272922092206","0.0936510816876101","0.12850448805025697","0.03127480562871122","0.23728581534165963","0.16102051623177585","0.07255970279162319"
"2021-02-01/2021-02-07","0.10980279549369745","0.09009692669347626","0.06607489168386935","0.08650552179564325","0.1377108992201559","0.03228227406376258","0.22472810982419797","0.17587631071656012","0.07692227050863709"
"2021-02-08/2021-02-14","0.09900681463953696","0.09174659023657297","0.06376618710182437","0.07996321515087915","0.147129208046304","0.036770985955190794","0.21984754239408413","0.1810255141556018","0.08074394232000578"
"2021-02-15/2021-02-21","0.11491006292095003","0.09091736441220367","0.05956200794119051","0.08510824335282305","0.12243002374394435","0.03296512399860777","0.23169959839231244","0.1804528108843525","0.08195476435361572"
"2021-02-22/2021-02-28","0.09112445996604848","0.07603441825739256","0.07465178054839038","0.08895546545610948","0.15297706870522196","0.034999451108766524","0.21919547420620986","0.18399102597218767","0.07807085577967307"
"2021-03-01/2021-03-07","0.0909578244836748","0.0739810277238927","0.06916630006529914","0.08236438831289937","0.1432140636807392","0.0307749148343029","0.2265499146669474","0.19875735926487997","0.08423420696736451"
"2021-03-08/2021-03-14","0.08095129798843799","0.06650070572551094","0.06113893059193373","0.07528300925865641","0.1830258537371985","0.029124332172395014","0.24180510316182785","0.1937375098560974","0.06843325750794219"
"2021-03-15/2021-03-21","0.09722327180164826","0.09686190005836455","0.05311777971328127","0.06472115335020895","0.14048146983232035","0.046122263978049645","0.23343412311271092","0.18619581217338893","0.0818422259800271"
"2021-03-22/2021-03-28","0.0832878767268587","0.06582061212918648","0.06537163881774141","0.11323000141292076","0.16266553267063988","0.03273891123672908","0.20415302193180085","0.20304254714060516","0.06968985793351767"
"2021-03-29/2021-04-04","0.10200876880339489","0.08747776261715119","0.07580929516356817","0.08543259976091551","0.12503499538698917","0.029917150627116272","0.23260316617984073","0.18862789099506858","0.07308837046595548"
"2021-04-05/2021-04-11","0.07270665110366012","0.07280313510560557","0.06053676907698974","0.0912245158878529","0.17845552919183594","0.032953573539805436","0.2182008911398048","0.20134704063183778","0.07177189432260772"
"2021-04-12/2021-04-18","0.09288698576553385","0.07020740729065063","0.06339665846064146","0.07150970204286372","0.1481631224032609","0.029835376722754242","0.2521220043717943","0.2012791904454686","0.07059955249703237"
"2021-04-19/2021-04-25","0.0922075213043823","0.0751462479575906","0.06802378735017227","0.08211261313846165","0.16166112350181788","0.03127323271234879","0.2188299888522437","0.19670175512142413","0.0740437300615587"
